Bledsoe County, Tennessee, Average Temperature
201208,73.4,-0.5
201209,67.4,-1.3
201210,56.1,-1.7
201211,45.5,-1.1
201212,44.4,6.2
201301,40.6,4.1
201302,39.6,0.5
201303,41.8,-5.5
201304,55.8,-0.5
201305,63.4,-1.2
201306,72.3,0.6
201307,72.9,-1.9
201308,72.7,-1.2
201309,69.1,0.4
201310,58.6,0.8
201311,44.4,-2.2
201312,40.1,1.9
201401,29.0,-7.5
201402,39.2,0.1
201403,45.8,-1.5
201404,58.1,1.8
201405,66.0,1.4
201406,73.0,1.3
201407,72.3,-2.5
201408,74.0,0.1
201409,70.6,1.9
201410,59.7,1.9
201411,42.6,-4.0
201412,42.5,4.3
201501,35.5,-1.0
201502,30.7,-8.4
201503,49.8,2.5
201504,59.2,2.9
201505,67.9,3.3
201506,74.6,2.9
201507,76.4,1.6
201508,72.8,-1.1
201509,69.1,0.4
201510,59.4,1.6
201511,53.3,6.7
201512,51.2,13.0
201601,33.7,-2.8
201602,41.2,2.1
201603,53.1,5.8
201604,58.3,2.0
201605,64.9,0.3
201606,74.6,2.9
201607,78.2,3.4
201608,77.9,4.0
201609,73.3,4.6
201610,63.5,5.7
201611,51.6,5.0
201612,40.7,2.5
201701,44.6,8.1
201702,47.3,8.2
201703,49.9,2.6
201704,62.4,6.1
201705,65.7,1.1
201706,70.8,-0.9
201707,75.8,1.0
201708,73.2,-0.7
201709,66.9,-1.8
201710,59.7,1.9
201711,50.1,3.5
201712,39.4,1.2
201801,32.7,-3.8
201802,48.8,9.7
201803,46.6,-0.7
201804,52.5,-3.8
201805,70.7,6.1
201806,74.2,2.5
201807,76.0,1.2
201808,74.6,0.7
201809,73.8,5.1
201810,60.6,2.8
201811,44.0,-2.6
201812,42.1,3.9
201901,38.9,2.4
201902,46.3,7.2
201903,46.4,-0.9
201904,59.0,2.7
201905,69.2,4.6
201906,71.8,0.1
201907,76.0,1.2
201908,75.4,1.5
201909,74.6,5.9
201910,61.7,3.9
201911,45.0,-1.6
201912,44.9,6.7
202001,42.0,5.5
