Attala County, Mississippi, Average Temperature
201208,78.5,-1.1
201209,73.3,-1.1
201210,60.8,-2.6
201211,50.5,-2.3
201212,51.1,5.6
201301,48.3,4.4
201302,47.7,0.7
201303,49.2,-5.4
201304,61.7,-0.9
201305,68.3,-2.0
201306,78.5,1.1
201307,78.5,-1.7
201308,79.8,0.2
201309,76.6,2.2
201310,64.2,0.8
201311,49.7,-3.1
201312,45.4,-0.1
201401,37.1,-6.8
201402,45.4,-1.6
201403,50.8,-3.8
201404,62.0,-0.6
201405,70.3,0.0
201406,78.1,0.7
201407,76.8,-3.4
201408,79.2,-0.4
201409,75.9,1.5
201410,65.8,2.4
201411,47.3,-5.5
201412,49.6,4.1
201501,43.0,-0.9
201502,41.1,-5.9
201503,57.0,2.4
201504,65.8,3.2
201505,71.4,1.1
201506,78.5,1.1
201507,82.0,1.8
201508,80.1,0.5
201509,76.3,1.9
201510,65.9,2.5
201511,58.5,5.7
201512,56.2,10.7
201601,42.3,-1.6
201602,50.2,3.2
201603,59.1,4.5
201604,64.4,1.8
201605,69.8,-0.5
201606,80.1,2.7
201607,82.6,2.4
201608,82.2,2.6
201609,79.2,4.8
201610,68.8,5.4
201611,56.6,3.8
201612,48.1,2.6
201701,52.0,8.1
201702,55.6,8.6
201703,59.0,4.4
201704,67.0,4.4
201705,69.5,-0.8
201706,75.9,-1.5
201707,80.9,0.7
201708,78.7,-0.9
201709,73.3,-1.1
201710,65.3,1.9
201711,55.3,2.5
201712,46.6,1.1
201801,38.9,-5.0
201802,56.0,9.0
201803,55.9,1.3
201804,58.1,-4.5
201805,74.6,4.3
201806,79.5,2.1
201807,81.1,0.9
201808,80.1,0.5
201809,78.1,3.7
201810,65.7,2.3
201811,49.6,-3.2
201812,47.4,1.9
201901,45.9,2.0
201902,52.8,5.8
201903,52.5,-2.1
201904,61.6,-1.0
201905,72.7,2.4
201906,77.5,0.1
201907,80.0,-0.2
201908,80.4,0.8
201909,80.4,6.0
201910,64.2,0.8
201911,47.3,-5.5
201912,49.3,3.8
202001,48.3,4.4
