Pulaski County, Arkansas, Average Temperature
201208,81.9,1.5
201209,74.4,0.6
201210,60.2,-2.5
201211,51.1,0.4
201212,47.3,4.8
201301,42.8,2.4
201302,44.1,-0.2
201303,47.6,-4.8
201304,59.2,-2.4
201305,68.0,-1.6
201306,78.3,0.7
201307,79.4,-1.9
201308,79.7,-0.7
201309,76.8,3.0
201310,62.4,-0.3
201311,48.5,-2.2
201312,41.6,-0.9
201401,36.8,-3.6
201402,40.0,-4.3
201403,47.5,-4.9
201404,60.8,-0.8
201405,68.6,-1.0
201406,77.6,0.0
201407,76.3,-5.0
201408,79.8,-0.6
201409,73.9,0.1
201410,64.6,1.9
201411,46.0,-4.7
201412,44.2,1.7
201501,39.7,-0.7
201502,36.8,-7.5
201503,50.8,-1.6
201504,63.3,1.7
201505,70.4,0.8
201506,79.2,1.6
201507,83.3,2.0
201508,80.1,-0.3
201509,76.2,2.4
201510,64.6,1.9
201511,54.6,3.9
201512,50.9,8.4
201601,40.5,0.1
201602,47.9,3.6
201603,56.3,3.9
201604,63.4,1.8
201605,68.0,-1.6
201606,80.3,2.7
201607,83.5,2.2
201608,81.0,0.6
201609,77.2,3.4
201610,67.7,5.0
201611,55.7,5.0
201612,43.0,0.5
201701,45.4,5.0
201702,52.8,8.5
201703,56.1,3.7
201704,64.5,2.9
201705,68.4,-1.2
201706,76.0,-1.6
201707,81.4,0.1
201708,77.9,-2.5
201709,74.2,0.4
201710,63.6,0.9
201711,54.4,3.7
201712,42.8,0.3
201801,36.4,-4.0
201802,46.1,1.8
201803,54.9,2.5
201804,56.2,-5.4
201805,75.8,6.2
201806,81.0,3.4
201807,83.2,1.9
201808,79.7,-0.7
201809,75.6,1.8
201810,63.1,0.4
201811,46.7,-4.0
201812,44.7,2.2
201901,41.4,1.0
201902,46.5,2.2
201903,49.3,-3.1
201904,61.2,-0.4
201905,71.2,1.6
201906,76.5,-1.1
201907,79.8,-1.5
201908,81.3,0.9
201909,80.4,6.6
201910,61.3,-1.4
201911,46.5,-4.2
201912,46.1,3.6
202001,43.9,3.5
