Hoonah-Angoon Census Area, Alaska, Average Temperature
201208,49.8,-0.8
201209,44.9,-0.3
201210,34.3,-3.0
201211,25.6,-3.0
201212,19.7,-4.5
201301,26.6,4.8
201302,30.0,5.6
201303,25.5,-2.9
201304,31.0,-3.6
201305,42.0,0.2
201306,51.4,3.5
201307,52.5,1.8
201308,53.0,2.4
201309,47.6,2.4
201310,40.2,2.9
201311,26.4,-2.2
201312,22.7,-1.5
201401,31.2,9.4
201402,19.7,-4.7
201403,26.9,-1.5
201404,35.1,0.5
201405,45.7,3.9
201406,47.2,-0.7
201407,50.8,0.1
201408,51.4,0.8
201409,47.1,1.9
201410,38.7,1.4
201411,29.7,1.1
201412,28.8,4.6
201501,29.9,8.1
201502,26.5,2.1
201503,32.1,3.7
201504,35.8,1.2
201505,46.8,5.0
201506,51.0,3.1
201507,51.5,0.8
201508,51.5,0.9
201509,44.8,-0.4
201510,40.0,2.7
201511,30.0,1.4
201512,26.6,2.4
201601,31.1,9.3
201602,31.9,7.5
201603,34.9,6.5
201604,38.8,4.2
201605,45.8,4.0
201606,50.7,2.8
201607,53.4,2.7
201608,53.1,2.5
201609,46.7,1.5
201610,37.1,-0.2
201611,32.0,3.4
201612,22.0,-2.2
201701,26.7,4.9
201702,25.6,1.2
201703,22.9,-5.5
201704,37.7,3.1
201705,42.8,1.0
201706,47.6,-0.3
201707,49.8,-0.9
201708,51.9,1.3
201709,46.3,1.1
201710,37.2,-0.1
201711,24.8,-3.8
201712,27.0,2.8
201801,25.6,3.8
201802,21.5,-2.9
201803,28.4,0.0
201804,35.2,0.6
201805,43.2,1.4
201806,48.9,1.0
201807,53.2,2.5
201808,51.9,1.3
201809,46.8,1.6
201810,40.5,3.2
201811,33.1,4.5
201812,28.6,4.4
201901,25.8,4.0
201902,20.9,-3.5
201903,33.0,4.6
201904,36.4,1.8
201905,45.6,3.8
201906,50.6,2.7
201907,53.8,3.1
201908,53.2,2.6
201909,47.6,2.4
201910,36.6,-0.7
201911,33.6,5.0
201912,31.3,7.1
202001,19.9,-1.9
