Somerset County, Pennsylvania, Average Temperature
201209,59.8,-0.3
201210,49.6,0.2
201211,36.0,-2.2
201212,34.4,6.2
201301,28.5,3.6
201302,25.5,-0.9
201303,31.2,-4.1
201304,48.1,2.4
201305,56.7,0.3
201306,65.2,0.9
201307,69.3,1.2
201308,65.0,-1.3
201309,58.7,-1.4
201310,51.0,1.6
201311,35.3,-2.9
201312,30.9,2.7
201401,18.8,-6.1
201402,23.0,-3.4
201403,29.8,-5.5
201404,46.8,1.1
201405,56.9,0.5
201406,65.5,1.2
201407,66.5,-1.6
201408,64.7,-1.6
201409,60.5,0.4
201410,50.8,1.4
201411,34.8,-3.4
201412,32.7,4.5
201501,22.6,-2.3
201502,16.7,-9.7
201503,32.4,-2.9
201504,48.2,2.5
201505,61.1,4.7
201506,65.4,1.1
201507,68.2,0.1
201508,65.8,-0.5
201509,63.8,3.7
201510,49.0,-0.4
201511,44.2,6.0
201512,41.3,13.1
201601,23.0,-1.9
201602,29.6,3.2
201603,43.0,7.7
201604,47.0,1.3
201605,55.7,-0.7
201606,66.1,1.8
201607,70.7,2.6
201608,71.3,5.0
201609,64.8,4.7
201610,52.7,3.3
201611,42.0,3.8
201612,30.5,2.3
201701,31.6,6.7
201702,37.4,11.0
201703,35.2,-0.1
201704,53.2,7.5
201705,56.2,-0.2
201706,65.4,1.1
201707,69.4,1.3
201708,65.3,-1.0
201709,61.8,1.7
201710,54.8,5.4
201711,38.4,0.2
201712,27.6,-0.6
201801,22.2,-2.7
201802,35.5,9.1
201803,31.8,-3.5
201804,43.1,-2.6
201805,64.4,8.0
201806,65.4,1.1
201807,68.8,0.7
201808,69.0,2.7
201809,65.5,5.4
201810,51.7,2.3
201811,35.6,-2.6
201812,32.2,4.0
201901,25.5,0.6
201902,31.6,5.2
201903,34.2,-1.1
201904,49.9,4.2
201905,61.1,4.7
201906,64.0,-0.3
201907,70.8,2.7
201908,67.2,0.9
201909,64.4,4.3
201910,52.8,3.4
201911,35.7,-2.5
201912,32.5,4.3
202001,31.8,6.9
