Minnehaha County, South Dakota, Average Temperature
201208,71.4,1.3
201209,62.2,1.5
201210,45.6,-2.9
201211,35.1,3.3
201212,21.3,3.0
201301,17.1,3.8
201302,20.9,2.2
201303,27.0,-4.0
201304,38.4,-7.0
201305,56.6,-0.9
201306,66.7,-0.4
201307,71.5,-1.1
201308,70.6,0.5
201309,66.4,5.7
201310,47.7,-0.8
201311,31.4,-0.4
201312,11.8,-6.5
201401,12.8,-0.5
201402,11.8,-6.9
201403,28.7,-2.3
201404,45.2,-0.2
201405,57.6,0.1
201406,68.0,0.9
201407,68.8,-3.8
201408,69.7,-0.4
201409,61.5,0.8
201410,50.3,1.8
201411,25.9,-5.9
201412,24.1,5.8
201501,20.2,6.9
201502,15.0,-3.7
201503,37.4,6.4
201504,49.8,4.4
201505,57.3,-0.2
201506,68.7,1.6
201507,71.6,-1.0
201508,68.3,-1.8
201509,66.8,6.1
201510,52.6,4.1
201511,38.2,6.4
201512,25.8,7.5
201601,17.0,3.7
201602,26.8,8.1
201603,39.5,8.5
201604,47.9,2.5
201605,58.6,1.1
201606,71.9,4.8
201607,72.3,-0.3
201608,71.1,1.0
201609,64.5,3.8
201610,51.6,3.1
201611,41.8,10.0
201612,18.8,0.5
201701,19.9,6.6
201702,31.3,12.6
201703,34.5,3.5
201704,48.0,2.6
201705,56.9,-0.6
201706,69.8,2.7
201707,74.3,1.7
201708,66.6,-3.5
201709,64.1,3.4
201710,49.7,1.2
201711,34.6,2.8
201712,20.8,2.5
201801,15.8,2.5
201802,13.6,-5.1
201803,32.6,1.6
201804,36.3,-9.1
201805,64.1,6.6
201806,71.6,4.5
201807,72.2,-0.4
201808,70.0,-0.1
201809,63.7,3.0
201810,44.6,-3.9
201811,28.5,-3.3
201812,24.9,6.6
201901,15.6,2.3
201902,9.3,-9.4
201903,28.1,-2.9
201904,46.0,0.6
201905,54.1,-3.4
201906,68.9,1.8
201907,73.9,1.3
201908,68.9,-1.2
201909,66.0,5.3
201910,44.3,-4.2
201911,31.1,-0.7
201912,22.8,4.5
202001,19.1,5.8
